"store_id","si_id","git_id","si_name","git_name","si_size","git_size","si_count","git_count","si_desc","git_desc","si_price","si_upc","git_upc","category","si_image","git_image","si_active","si_instock","tags"
"09f03ee1-68aa-43be-b88b-d1002df978f7","e8a5128a-73a6-49ed-b39b-cc307a4fb499","9d168608-c212-41a6-a80b-0c1155bacd16","Starburst All Pink Reg","Starburst All Pink Strawberry Chew Candy","1 ct","2.07 oz",NULL,"",NULL,"2.07 oz","1.99",NULL,"22000019882","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/af114967-c551-4bde-9d61-75c89090085d/Candy/e47e006a-2157-4a27-ad97-6b44a0862881.webp}",True,True,"{Enriched,Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","9eb715be-8fa0-4c0d-b1db-028fdff5e17b","986f0346-653c-4af0-b1be-de3b9065ff1f","Starburst Fav Reds Kg King Size","Starburst FaveReds Fruit Chews Share Size Candy","1 ct","3.45 oz",NULL,"",NULL,"3.45 oz","2.99",NULL,"22000016065","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/e27bf257-e737-459e-bc00-a13ef84e4b6a.webp}",True,True,"{Enriched,Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","e9a8d2c8-b557-4ef5-8087-95d61ff35f51","9f3f8bfb-8bd3-4bb6-93c4-4739d3708409","Starburst Mini Faver 8oz Sup","Starburst Minis Favereds Candy","8 oz","8 oz",NULL,"",NULL,"8 oz","4.49",NULL,"22000135377","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/398638bf-ff5e-42f1-ba09-fece66901485.webp}",True,True,"{Enriched,Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","04c4c491-ca25-4d4c-b3c6-92696f0d01d9","2118be0d-bf0b-4c25-865a-353c0fdd278b","Starburst Mini King Size","Starburst Original Minis","1 ct","3.5 oz",NULL,"",NULL,"3.5 oz","2.99",NULL,"22000014696","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/a38340d3-0b95-4112-bd33-be8c56473cfc/Candy/c6ff805d-2515-4301-9d34-b537580b10f9.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","4d6bacff-ea68-4e61-8198-e1e5c4ace6fb","902ed4c1-9edf-4b61-a6fa-6996ac3fe505","Starburst Mini Pink 8oz Sup","Starburst All Pink Minis","8 oz","8 oz",NULL,"",NULL,"8 oz","4.49",NULL,"22000022837","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/7966e893-b186-403e-9786-da59194d969b.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","fe8e8e77-2de2-43c1-a7f6-3e4e51945413","4dd23e25-4c4f-481e-94d8-ffa7ef9e0e81","Starburst Minis Fave Reds Share  King Size","Starburst Minis Favereds Share Size Candy","1 ct","3.5 oz",NULL,NULL,NULL,"3.5 oz","2.99",NULL,"22000021687","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/7ab1f7d0-6aa3-47a8-ab2d-7e539d1e36f1.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","ad312d40-22a0-4505-9644-0fa3462601bd","d8fbcf0a-f741-4deb-8cc2-e0d24928ce63","Starburst Minis Org 8oz Sup","Starburst Minis Original Candy","8 oz","8 oz",NULL,"1",NULL,"8 oz","4.49",NULL,"22000014702","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/items/Candy/d8fbcf0a-f741-4deb-8cc2-e0d24928ce63_1707252246579.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","552c2cd8-4b11-4fd3-9cbb-8796f535c4e1","4d5f1d56-91b4-4548-bfe1-92e4f031f772","Starburst Original","Starburst Original Fruit Chews Candy","1 ct","2.07 oz",NULL,"",NULL,"2.07 oz","1.99",NULL,"40000000518","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/af114967-c551-4bde-9d61-75c89090085d/Candy/0e09bdde-ad9f-40c3-b57a-c2807c30ef8a.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","9d8b0186-26ef-410c-927c-f312c188abc2","7cb0c62f-8542-4d50-aa71-1533932e5cf2","Starburst Original King Size","Starburst Original Fruit Chews Share Size Candy","1 ct","3.5 oz",NULL,"",NULL,"3.5 oz","2.99",NULL,"40000004455","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/af114967-c551-4bde-9d61-75c89090085d/Candy/741c49ba-99b5-46ab-9153-0594fedd26f2.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","3cbb7b5a-26ac-4990-b588-24c48b6ed365","45c64eed-bb0c-40ed-83fb-9e4c0222e289","Starburst Swirlers Kg King Size","Starburst Swirlers Chewy Sticks","1 ct","2.96 oz",NULL,"8 ea",NULL,"2.96 oz","2.99",NULL,"22000282385","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/b2885162-3724-4506-bb4e-265c8a37e07d.webp}",True,True,"{Enriched,Certified}"
